uniprot_acc	is_control_genes
P20700	FALSE
P20742	FALSE
P20774	FALSE
P20810	FALSE
P20851	FALSE
P20930	FALSE
P20933	FALSE
P21291	FALSE
P21333	FALSE
P21399	FALSE
P21695	FALSE
P21796	FALSE
P21810	FALSE
P21912	FALSE
P22061	FALSE
P22087	FALSE
P22102	FALSE
P22105	FALSE
P22234	FALSE
P22307	FALSE
P22314	FALSE
P22352	FALSE
P22392	FALSE
P22626	FALSE
P22792	FALSE
P22891	FALSE
P22897	FALSE
P23083	FALSE
P23141	FALSE
P23142	FALSE
P23229	FALSE
P23284	FALSE
P23297	FALSE
P23368	FALSE
P23378	FALSE
P23381	FALSE
P23396	FALSE
P23470	FALSE
P23526	FALSE
P23528	FALSE
P24158	FALSE
P24298	FALSE
P24592	FALSE
P24593	FALSE
P24666	FALSE
P24821	FALSE
P25311	FALSE
P25325	FALSE
P25398	FALSE
P25705	FALSE
P25774	FALSE
P25786	FALSE
P25787	FALSE
P25788	FALSE
P25789	FALSE
P26038	FALSE
P26196	FALSE
P26373	FALSE
P26447	FALSE
P26572	FALSE
P26583	FALSE
P26599	FALSE
P26639	FALSE
P26640	FALSE
P26641	FALSE
P26927	FALSE
P27105	FALSE
P27169	FALSE
P27348	FALSE
P27487	FALSE
P27635	FALSE
P27695	FALSE
P27797	FALSE
P27824	FALSE
P27918	FALSE
P28062	FALSE
P28065	FALSE
P28066	FALSE
P28070	FALSE
P28072	FALSE
P28074	FALSE
P28482	FALSE
P28799	FALSE
P28827	FALSE
P28838	FALSE
P29144	FALSE
P29279	FALSE
P29350	FALSE
P29401	FALSE
P29508	FALSE
P29622	FALSE
P29966	FALSE
P30040	FALSE
P30041	FALSE
P30043	FALSE
P30044	FALSE
P30048	FALSE
P30050	FALSE
P30084	FALSE
P30085	FALSE
P30086	FALSE
P30101	FALSE
P30153	FALSE
P30520	FALSE
P30530	FALSE
P30613	FALSE
P30679	FALSE
P30740	FALSE
P31040	FALSE
P31146	FALSE
P31150	FALSE
P31151	FALSE
P31327	FALSE
P31937	FALSE
P31939	FALSE
P31943	FALSE
P31944	FALSE
P31946	FALSE
P31947	FALSE
P31948	FALSE
P31949	FALSE
P31997	FALSE
P32004	FALSE
P32119	FALSE
P32320	FALSE
P32754	FALSE
P33151	FALSE
P33176	FALSE
P33908	FALSE
P33992	FALSE
P34096	FALSE
P34896	FALSE
